#i	A	  F	    Kx	    Ky	         kycent	v	 v_rel
0	  20	24819	71.2198	50.36	61.1111	3096.55	-745.775
1	  23	28020	82.9861	58.68	61.1111	3000.25	-842.075
2	  27	32089	87.6812	62	61.1111	3251.95	-590.374
3	  32	37371	52.3583	61.1111	61.1111	3842.33	0
4	  27	41047	86.4242	61.1111	61.1111	4220.28	377.951
5	  25	44089	92.8148	65.63	  61.1111	4220.93	378.598
6	  23	46423	101.7	  71.913	61.1111	4056.07	213.744
7	  23	49157	108.416	76.662	61.1111	4028.89	186.559
8	  27	52645	114.823	81.192	61.1111	4074.03	231.698
9	  25	56224	120.166	84.97	61.1111	4157.54	315.208
10	20	60025	124.479	88.02	61.1111	4284.8	442.473
